# de trous,# of Holes,Address,Adresse,Club Type,Course Par,Emplacement,Location,Par du parcours,Phone,Total Yards,Type de club,Téléphone,Verges totales,Website,name,url
,9,"https://www.google.com/maps/place/15 Laurier Dr  Morrisburg,ON K0C 1X0",,Public,Par 70,,"Morrisburg, ON",,—,5435,,,,,Morrisburg Golf Club,https://www.golfcanada.ca/golf-facility/morrisburg-golf-club-en/
,18,"https://www.google.com/maps/place/1 Boul de Fontainebleau  Blainville,QC J7B 1L4",,Private,Par 72,,"Blainville, QC",,(450) 434-7569,7027,,,,https://www.clublink.ca,Rosemère Fontainebleau (Club de golf),https://www.golfcanada.ca/golf-facility/rosemere-fontainebleau-club-de-golf-en/
,18,"https://www.google.com/maps/place/19113 Cure Rd, Box 138  St. Pierre-Jolys,MB R0A 1V0",,Public,Par 70,,"St. Pierre-Jolys, MB",,(204)433-3344,5743,,,,https://www.maplewood.golf,Maplewood Golf Club,https://www.golfcanada.ca/golf-facility/maplewood-golf-club-en/
,18,"https://www.google.com/maps/place/PO Box 1714  Kamsack,SK S0A 1S0",,Public,Par 69,,"Kamsack, SK",,(306) 542-3485,5548,,,,,Madge Lake Golf Course,https://www.golfcanada.ca/golf-facility/madge-lake-golf-course-en/
,18,"https://www.google.com/maps/place/566 Silver Lake Rd  Sudbury,ON P3E 4M9",,Public,Par —,,"Sudbury, ON",,705-523-2518,—,,,,,Stonehill Golf Club,https://www.golfcanada.ca/golf-facility/stonehill-golf-club-en/
,18,"https://www.google.com/maps/place/2019 Montée Sainte-Thérèse  Saint-Jérôme,QC J5L 2L2",,Public,Par 71,,"Saint-Jérôme, QC",,(450) 436-2335,5930,,,,https://www.golfstjerome.com,St-Jérôme Golf Club,https://www.golfcanada.ca/golf-facility/st-jerome-golf-club-en/
,18,"https://www.google.com/maps/place/700 Petersen Rd,  Campbell River,BC V9W 3H7",,Semi-private,Par 71,,"Campbell River, BC",,(250)287-4970,6299,,,,https://www.crgolf.ca,Campbell River Golf Club,https://www.golfcanada.ca/golf-facility/campbell-river-golf-club-en/
,18,"https://www.google.com/maps/place/487 John Black Rd.  Amherst,NS B4H 3Y3",,Semi-private,Par 71,,"Amherst, NS",,(902) 667-8730,6379,,,,https://www.amherstgolfclub.com,Amherst Golf Club,https://www.golfcanada.ca/golf-facility/amherst-golf-club-en/
,18,"https://www.google.com/maps/place/1425 Rang Saint Étienne N  Sainte-Marie,QC G6E 3M6",,Semi-private,Par 72,,"Sainte-Marie, QC",,418-387-4429,6280,,,,https://www.golfdebeauce.com,Sainte-Marie (Club de golf),https://www.golfcanada.ca/golf-facility/sainte-marie-club-de-golf-en/
,18,"https://www.google.com/maps/place/Box 37  Rolling Hills,AB T0J 2S0",,Public,Par —,,"Rolling Hills, AB",,(403) 964-2380,—,,,,,Rolling Hills Golf and Country Club,https://www.golfcanada.ca/golf-facility/rolling-hills-golf-and-country-club-en/
,9,"https://www.google.com/maps/place/25 Golf Course Rd,  Gore Bay,ON P0P 1H0",,Public,Par 72,,"Gore Bay, ON",,705-282-2282,6034,,,,,Manitoulin Golf,https://www.golfcanada.ca/golf-facility/manitoulin-golf-en/
,18,"https://www.google.com/maps/place/1280 Alpine Rd.  Sun Peaks,BC V0E 5N0",,Public,Par 72,,"Sun Peaks, BC",,(250) 578-5431,6321,,,,https://www.sunpeaksresort.com,Sun Peaks Golf Resort,https://www.golfcanada.ca/golf-facility/sun-peaks-golf-resort-en/
,9,"https://www.google.com/maps/place/3445 Mabel Lake Rd  Enderby,BC V0E 1V5",,Public,Par 72,,"Enderby, BC",,(250) 838-0881,6206,,,,,Mabel Lake Golf & Country Club,https://www.golfcanada.ca/golf-facility/mabel-lake-golf-country-club-en/
,36,"https://www.google.com/maps/place/1160 South Branch Road  Cornwall,ON K6H 5R6",,Public,,,"Cornwall, ON",,—,,,,,https://www.summerheightsgolf.com,Summerheights Golf Links,https://www.golfcanada.ca/golf-facility/summerheights-golf-links-en/
,18,"https://www.google.com/maps/place/PO Box 476  Deloraine,MB R0M 0M0",,Public,Par 71,,"Deloraine, MB",,(204) 747-2411,6390,,,,,Deloraine Golf & Country Club,https://www.golfcanada.ca/golf-facility/deloraine-golf-country-club-en/
,18,"https://www.google.com/maps/place/1346 Clyde Road, 1346 Clyde Road, Cambridge,ON N1R 5S7",,Semi-private,Par 72,,"Cambridge, ON",,(519) 621-5491,6267,,,,https://cambridgegolfclub.com,Cambridge Golf Club Ltd.,https://www.golfcanada.ca/golf-facility/cambridge-golf-club-ltd-en/
,18,"https://www.google.com/maps/place/9767 Port Franks Road  Lambton Shores,ON N0M 2N0",,Semi-private,Par 71,,"Lambton Shores, ON",,1-888-833-8787,5407,,,,,Sand Hills Golf Club,https://www.golfcanada.ca/golf-facility/sand-hills-golf-resort-en/
,18,"https://www.google.com/maps/place/1045 Penetanguishene Rd  Barrie,ON L4M 4Y8",,Public,Par 72,,"Barrie, ON",,—,5880,,,,,Simoro Golf Links,https://www.golfcanada.ca/golf-facility/simoro-golf-links-en/
,18,R0J 1V0,,Public,Par 68,,"Rossburn, MB",,—,5250,,,,,Rossman Lake Golf Course & Country Club,https://www.golfcanada.ca/golf-facility/rossman-lake-golf-course-country-club-en/
,9,"https://www.google.com/maps/place/PO Box 489  Shaunavon,SK S0N 2M0",,Public,Par 72,,"Shaunavon, SK",,(306) 297-6366,6108,,,,,Rock Creek Golf & Country Club Inc.,https://www.golfcanada.ca/golf-facility/rock-creek-golf-country-club-inc-en/
,9,"https://www.google.com/maps/place/301 Rue de l'Harricana  Malartic,QC J0Y 1Z0",,Public,Par 72,,"Malartic, QC",,(819) 757-3661,6352,,,,,Malartic (Club de golf),https://www.golfcanada.ca/golf-facility/malartic-club-de-golf-en/
,18,"https://www.google.com/maps/place/25114 Sturgeon Road  St. Albert,AB T8T 1S6",,Semi-private,Par 72,,"St. Albert, AB",,(780) 973-6705,6714,,,,https://www.sturgeonvalleygolfclub.com,Sturgeon Valley Golf & Country Club,https://www.golfcanada.ca/golf-facility/sturgeon-valley-golf-country-club-en/
,18,"https://www.google.com/maps/place/320 Rue Jacques-Cartier S  Saint-Jean-sur-Richelieu,QC J3B 4J7",,Semi-private,Par 71,,"Saint-Jean-sur-Richelieu, QC",,(450) 346-6418,6487,,,,https://www.golfstjean.ca,St-Jean (Club de golf),https://www.golfcanada.ca/golf-facility/st-jean-club-de-golf-en/
,18,"https://www.google.com/maps/place/Box 548  Sexsmith,AB T0H 3C0",,Public,Par —,,"Sexsmith, AB",,(403) 568-4097,—,,,,,Spruce Meadows Golf Club,https://www.golfcanada.ca/golf-facility/spruce-meadows-golf-club-en/
,18,"https://www.google.com/maps/place/580, Chemin du Golf  Louiseville,QC J5V 2L6",,Public,Par 71,,"Louiseville, QC",,(819) 228-3951,6279,,,,https://www.golflouiseville.com,Louiseville (Club de golf de)-Links O'Loup,https://www.golfcanada.ca/golf-facility/louiseville-club-de-golf-de-links-oloup-en/
,9,"https://www.google.com/maps/place/16 Mcelligott Dr  Deep River,ON K0J 1P0",,Semi-private,Par 72,,"Deep River, ON",,(613) 584-3991,6447,,,,https://www.deeprivergolf.ca,Deep River Golf Club,https://www.golfcanada.ca/golf-facility/deep-river-golf-club-en/
,18,"https://www.google.com/maps/place/650 Grande Allée  Mont-Tremblant,QC J8E 2L8",,Public,Par 72,,"Mont-Tremblant, QC",,8194259888,6935,,,,https://www.clublink.ca/courseoverviewlmfr.html,Maître de Mont-Tremblant (Club de golf Le),https://www.golfcanada.ca/golf-facility/maitre-de-mont-tremblant-club-de-golf-le-en/
,18,"https://www.google.com/maps/place/150 Chemin Rivermead  Gatineau,QC J9H 5W6",,Private,Par 72,,"Gatineau, QC",,(819) 778-2000,6715,,,,https://www.rivermeadgolf.com,Rivermead (Club de golf),https://www.golfcanada.ca/golf-facility/rivermead-club-de-golf-en/
,27,"https://www.google.com/maps/place/1 Niagara On The Green Blvd  Niagara-On-The-Lake,ON L0S 1J0",,Public,,,"Niagara-On-The-Lake, ON",,(905) 685-9501,,,,,,Royal Niagara Golf Club,https://www.golfcanada.ca/golf-facility/royal-niagara-golf-club-en/
,18,"https://www.google.com/maps/place/3705 Bowmanville Ave  Bowmanville,ON L1C 3K2",,Public,Par 65,,"Bowmanville, ON",,—,3579,,,,,Quarry Lion Golf Resort,https://www.golfcanada.ca/golf-facility/quarry-lion-golf-resort-en/
,18,"https://www.google.com/maps/place/310 Kinsac Road  Beaver Bank,NS B4G 1C7",,Public,Par 71,,"Beaver Bank, NS",,(902) 865-4653,6137,,,,https://www.lostcreek.ca,Lost Creek Golf Club,https://www.golfcanada.ca/golf-facility/lost-creek-golf-club-en/
,18,"https://www.google.com/maps/place/PO Box 972 PO Box 972 Nanton,AB T0L 1R0",,Public,Par 71,,"Nanton, AB",,(403) 646-2050,6195,,,,https://www.nantongolfclub.com,Nanton Golf Club,https://www.golfcanada.ca/golf-facility/nanton-golf-club-en/
,36,"https://www.google.com/maps/place/1235 Deerhurst Drive  Huntsville,ON P1H 2E8",,Semi-private,,,"Huntsville, ON",,(705) 789-7878,,,,,https://www.deerhurstresort.com,Deerhurst Golf Course,https://www.golfcanada.ca/golf-facility/deerhurst-golf-course-en/
,46,"https://www.google.com/maps/place/15933 Central Avenue  Inverness,NS B0E 1N0",,Public,Par 70,,"Inverness, NS",,902-258-4653,6860,,,,https://cabotlinks.com,Cabot Links Golf,https://www.golfcanada.ca/golf-facility/cabot-links-golf-en/
,18,"https://www.google.com/maps/place/2110 Concession #7  Pickering,ON L1Y 1A2",,Private,Par 71,,"Pickering, ON",,(905) 649-5991,6598,,,,,Cherry Downs Golf & Country Club,https://www.golfcanada.ca/golf-facility/cherry-downs-golf-country-club-en/
,9,"https://www.google.com/maps/place/120 Rouge Bank Drive  Markham,ON L3S 4B7",,Public,Par 70,,"Markham, ON",,—,6016,,,,https://www.markhamgreengolfclub.ca,Markham Green Golf Club,https://www.golfcanada.ca/golf-facility/markham-green-golf-club-en/
,18,"https://www.google.com/maps/place/PO Box 262  Regina,SK S4P 3A1",,Semi-private,Par 71,,"Regina, SK",,(306) 757-3558,6444,,,,https://royalregina.com,Royal Regina Golf Club,https://www.golfcanada.ca/golf-facility/royal-regina-golf-club-en/
,18,"https://www.google.com/maps/place/6500, boul. des Forges 6500, boul. des Forges Trois-Rivières,QC G8Y 7E3",,Public,Par 60,,"Trois-Rivières, QC",,—,3106,,,,https://www.golflesrivieres.ca,Rivières (Club de golf Les),https://www.golfcanada.ca/golf-facility/rivieres-club-de-golf-les-en/
,18,"https://www.google.com/maps/place/8080 Nicklaus North Blvd  Whistler,BC V8E1J7",,Public,Par 71,,"Whistler, BC",,(604)938-9898,6943,,,,https://www.nicklausnorth.com,Nicklaus North Golf Course,https://www.golfcanada.ca/golf-facility/nicklaus-north-golf-course-en/
,18,"https://www.google.com/maps/place/PO Box 457  Macklin,SK S0L 2C0",,Public,Par 70,,"Macklin, SK",,(306) 753-2175,5874,,,,,Macklin Lakeview Golf Club,https://www.golfcanada.ca/golf-facility/macklin-lakeview-golf-club-en/
,9,"https://www.google.com/maps/place/150 Fairway Drive  Lorette,MB R5K 0T9",,Public,Par 72,,"Lorette, MB",,(204) 878-2172,6556,,,,https://www.LoretteGolf.ca,Lorette Golf Course,https://www.golfcanada.ca/golf-facility/lorette-golf-course-en/
,18,"https://www.google.com/maps/place/5136 boul. Chauveau ouest  Québec,QC G2E 1A2",,Public,Par 72,,"Québec, QC",,—,6288,,,,,Métropolitain Québec (Club de golf),https://www.golfcanada.ca/golf-facility/metropolitain-quebec-club-de-golf-en/
,18,"https://www.google.com/maps/place/1206 Cheese Factory Road  Cambridge,ON N1R 5S6",,Public,Par 71,,"Cambridge, ON",,(519) 622-0309,6213,,,,https://www.savannahgolflinks.ca,Savannah Golf Links,https://www.golfcanada.ca/golf-facility/savannah-golf-links-en/
,9,"https://www.google.com/maps/place/PO Box 147  Coronach,SK S0H 0Z0",,Public,Par 72,,"Coronach, SK",,(306) 267-3300,5870,,,,https://www.coronachgolf.com,Coronach Golf Club,https://www.golfcanada.ca/golf-facility/coronach-golf-club-en/
,27,"https://www.google.com/maps/place/8567 ON-93  Midland,ON L4R 4K4",,Semi-private,,,"Midland, ON",,(705) 526-9872,,,,,,Brooklea Golf & Country Club,https://www.golfcanada.ca/golf-facility/brooklea-golf-country-club-en/
,18,"https://www.google.com/maps/place/660 Chemin St Charles  Lac-aux-Sables,QC G0X 1M0",,Public,Par 72,,"Lac-aux-Sables, QC",,(418) 289-2644,5906,,,,,Saint-Rémi (Club de golf Le),https://www.golfcanada.ca/golf-facility/saint-remi-club-de-golf-le-en/
,27,"https://www.google.com/maps/place/320 Terry Fox Drive  Ottawa,ON K2K 3L1",,Public,Par 72,,"Ottawa, ON",,(613) 271-3370,7026,,,,https://www.brookstreetresort.com,Marshes Golf Club (The),https://www.golfcanada.ca/golf-facility/marshes-golf-club-the-en/
,9,"https://www.google.com/maps/place/600 Rue Compton E  Waterville,QC J0B 3H0",,Public,Par 70,,"Waterville, QC",,(819) 837-2966,5782,,,,,Waterville (Club de golf),https://www.golfcanada.ca/golf-facility/waterville-club-de-golf-en/
,18,"https://www.google.com/maps/place/375 Chemin du Golf  Val-des-Sources,QC J1T 3M7",,Public,Par 72,,"Val-des-Sources, QC",,(819) 879-5266,6871,,,,,Val-des-Sources (Club de golf),https://www.golfcanada.ca/golf-facility/val-des-sources-club-de-golf-en/
,18,"https://www.google.com/maps/place/#10 Deer Valley Road  Deer Valley,SK S2V 1B6",,Public,Par 72,,"Deer Valley, SK",,(306) 731-1445,6588,,,,https://www.prairielinksgolf.com,Deer Valley Golf Club,https://www.golfcanada.ca/golf-facility/deer-valley-golf-course-en/
,18,"https://www.google.com/maps/place/990 Ontario Street  Cobourg,ON K9A 3C7",,Semi-private,Par 68,,"Cobourg, ON",,—,5224,,,,,The Mill Golf Course at Cobourg Creek,https://www.golfcanada.ca/golf-facility/the-mill-golf-course-at-cobourg-creek-en/
,18,"https://www.google.com/maps/place/51111 Range Rd 255  Spruce Grove,AB T7Y 1A8",,Private,Par 71,,"Spruce Grove, AB",,(780) 470-4790,6835,,,,https://www.playblackhawk.com,Blackhawk Golf Club,https://www.golfcanada.ca/golf-facility/blackhawk-golf-club-en/
,18,"https://www.google.com/maps/place/230 Second Ave  Christina Lake,BC V0H 1E0",,Semi-private,Par 72,,"Christina Lake, BC",,(250) 447-9313,6785,,,,https://www.christinalakegolfclub.com,Christina Lake Golf Club,https://www.golfcanada.ca/golf-facility/christina-lake-golf-club-en/
,9,"https://www.google.com/maps/place/Alex, Dunn Road  Birch Hills,SK S0J 0G0",,Public,Par 68,,"Birch Hills, SK",,(306) 749-2211,5884,,,,,Birch Hills Golf Club,https://www.golfcanada.ca/golf-facility/birch-hills-golf-club-en/
,18,"https://www.google.com/maps/place/80 Wheatland Trail  Strathmore,AB T1P 1A5",,Public,Par 72,,"Strathmore, AB",,(403) 934-2299,6785,,,,,Strathmore Golf Club,https://www.golfcanada.ca/golf-facility/strathmore-golf-club-en/
,18,"https://www.google.com/maps/place/6378 Trafalgar Road  Hornby,ON L0P 1E0",,Public,Par 72,,"Hornby, ON",,(905) 693-9966,7074,,,,,Royal Ontario Golf Club,https://www.golfcanada.ca/golf-facility/royal-ontario-golf-club-en/
,18,"https://www.google.com/maps/place/Po Box 332 90 Golf Course Road Blairmore,AB T0K 0E0",,Public,Par 72,,"Blairmore, AB",,(403) 562-2776,6659,,,,https://www.crowsnestpassgolf.com,Crowsnest Pass Golf Club,https://www.golfcanada.ca/golf-facility/crowsnest-pass-golf-club-en/
,18,"https://www.google.com/maps/place/1690 Airport Rd  Pemberton,BC V0N 2L3",,Semi-private,Par 72,,"Pemberton, BC",,(604) 894-6106,7001,,,,https://www.bigskygolf.com,Big Sky Golf & Country Club,https://www.golfcanada.ca/golf-facility/big-sky-golf-country-club-en/
,18,"https://www.google.com/maps/place/7150 E Road 70 North  Rosser,MB R3C 2E6",,Semi-private,Par 73,,"Rosser, MB",,(204) 632-8834,6975,,,,https://www.belacres.com,Bel Acres Golf & Country Club,https://www.golfcanada.ca/golf-facility/bel-acres-golf-country-club-en/
,9,"https://www.google.com/maps/place/251 Norfolk Street, P.O. Box 8  Stratford,ON N5A 6W1",,Public,Par 70,,"Stratford, ON",,(519) 271-0214,6218,,,,,Stratford Municipal Golf Club,https://www.golfcanada.ca/golf-facility/stratford-municipal-golf-club-en/
,18,"https://www.google.com/maps/place/2226 Southside Road  Grande Pointe,MB R5A 1K1",,Public,Par 63,,"Grande Pointe, MB",,(204) 254-6709,4696,,,,https://www.southsidegolf.ca,Southside Golf Course,https://www.golfcanada.ca/golf-facility/southside-golf-course-en/
,18,"https://www.google.com/maps/place/2404 Centennial Drive  Blind Bay,BC V0E 1H2",,Semi-private,Par 72,,"Blind Bay, BC",,1-888-833-8787,6468,,,,https://shuswaplakegolf.com,Shuswap Lake Golf Course,https://www.golfcanada.ca/golf-facility/shuswap-lake-golf-course-at-blind-bay-en/
,18,"https://www.google.com/maps/place/1171 Kossuth Road, R.R. #21  Cambridge,ON N3H 4R6",,Semi-private,Par 67,,"Cambridge, ON",,1-888-833-8787,4759,,,,https://www.golfbeaverdale.ca,Beaverdale Golf Club,https://www.golfcanada.ca/golf-facility/beaverdale-golf-club-en/
,18,"https://www.google.com/maps/place/Box 65  Waterton Lakes,AB T0K 2M0",,Public,Par 71,,"Waterton Lakes, AB",,(403) 859-2114,6120,,,,,Waterton Lakes Golf Course,https://www.golfcanada.ca/golf-facility/waterton-lakes-golf-course-en/
,18,"https://www.google.com/maps/place/5133 Springs Boulevard  Tsawwassen,BC V4M 0A6",,Public,Par 70,,"Tsawwassen, BC",,604-948-4653,5439,,,,https://www.tsawwassensprings.ca,Tsawwassen Springs Golf Course,https://www.golfcanada.ca/golf-facility/tsawwassen-springs-golf-course-en/
,18,"https://www.google.com/maps/place/12986, Mgr Cooke  Loretteville,QC G2A 3B6",,Public,Par 72,,"Loretteville, QC",,(418) 842-8441,6471,,,,https://www.golflorette.ca,Lorette (Club de golf),https://www.golfcanada.ca/golf-facility/lorette-club-de-golf-en/
,18,"https://www.google.com/maps/place/17280 Chemin de la Grande Ligne  Quebec,QC G2N 2G3",,Public,Par 72,,"Quebec, QC",,(418) 841-3000,6827,,,,,Royal Charbourg (Club de golf),https://www.golfcanada.ca/golf-facility/royal-charbourg-club-de-golf-en/
,18,"https://www.google.com/maps/place/11220 132 Ave  Grande Prairie,AB T8V 6W7",,Public,Par 71,,"Grande Prairie, AB",,(780) 538-3393,6245,,,,https://www.bearcreekgolfclub.ca,Bear Creek Golf Club,https://www.golfcanada.ca/golf-facility/bear-creek-golf-club-en-2/
,27,"https://www.google.com/maps/place/269 rte 269  St-Gilles,QC G0S 2P0",,Semi-private,,,"St-Gilles, QC",,(418) 888-4821,,,,,,Lotbiniere (Club de golf),https://www.golfcanada.ca/golf-facility/lotbiniere-club-de-golf-en/
,9,—,,Public,Par 72,,"Ajax, ON",,—,6806,,,,,South Ajax Golf Club,https://www.golfcanada.ca/golf-facility/south-ajax-golf-club-breeze-en/
,18,"https://www.google.com/maps/place/PO Box 279  Belmont,MB R0K 0C0",,Public,Par 69,,"Belmont, MB",,(204) 537-2487,5925,,,,,Pleasant Valley Golf Club,https://www.golfcanada.ca/golf-facility/pleasant-valley-golf-club-en/
,9,"https://www.google.com/maps/place/PO Box 478  Loon Lake,SK S0M 1L0",,Public,Par 70,,"Loon Lake, SK",,(306) 387-4900,6510,,,,,Loon Lake Golf & Country Club,https://www.golfcanada.ca/golf-facility/loon-lake-golf-country-club-en/
,27,"https://www.google.com/maps/place/2300 194 Ave SE  Calgary,AB T2X 0R3",,Semi-private,Par 72,,"Calgary, AB",,—,7207,,,,https://www.bluedevilgolf.com,Blue Devil Golf Club,https://www.golfcanada.ca/golf-facility/blue-devil-golf-club-en/
,18,"https://www.google.com/maps/place/1000 Rue Musset  Sherbrooke,QC J1J 3X4",,Public,Par 71,,"Sherbrooke, QC",,(819) 569-6534,6091,,,,https://www.golfsherbrooke.com,Sherbrooke (Club de golf),https://www.golfcanada.ca/golf-facility/sherbrooke-club-de-golf-en/
,18,"https://www.google.com/maps/place/445 Golf Course Road  Wasaga Beach,ON L9Z 1S5",,Public,Par 71,,"Wasaga Beach, ON",,(705) 429-5600,5425,,,,,Marlwood Golf & Country Club,https://www.golfcanada.ca/golf-facility/marlwood-golf-country-club-en/
,18,"https://www.google.com/maps/place/100 Sutherland Avenue PO Box 15 Selkirk,MB R1A 2B1",,Semi-private,Par 71,,"Selkirk, MB",,(204) 482-2052,6480,,,,https://www.selkirkgolfcourse.com,Selkirk Golf & Country Club,https://www.golfcanada.ca/golf-facility/selkirk-golf-country-club-en/
,18,"https://www.google.com/maps/place/4680 Thorold Townline Rd  Niagara Falls,ON L2E 6S4",,Semi-private,Par 72,,"Niagara Falls, ON",,(905) 680-4653,6653,,,,,Beechwood Golf Club,https://www.golfcanada.ca/golf-facility/beechwood-golf-country-club-en/
,18,"https://www.google.com/maps/place/9851 Old Spallumcheen Road  Sicamous,BC V0E 2V3",,Semi-private,Par 72,,"Sicamous, BC",,1-888-833-8787,6683,,,,https://www.hydemountain.com,MaraHills Golf Resort,https://www.golfcanada.ca/golf-facility/mara-hills-golf-resort-en/
,18,"https://www.google.com/maps/place/Box 709,209 Tice Road  Fonthill,ON L0S 1E0",,Private,Par 72,,"Fonthill, ON",,(905) 892-2639,6702,,,,https://www.lookoutpointcc.com,Lookout Point Country Club Ltd.,https://www.golfcanada.ca/golf-facility/lookout-point-country-club-ltd-en/
,18,P0L 2B0,,Public,Par —,,—,,—,—,,,,,Smooth Rock Falls Golf Course,https://www.golfcanada.ca/golf-facility/smooth-rock-falls-golf-course-en/
,18,"https://www.google.com/maps/place/PO Box 369  Avonlea,SK S0H 0C0",,Public,Par 71,,"Avonlea, SK",,3068684432,6482,,,,,Long Creek Golf & Country Club,https://www.golfcanada.ca/golf-facility/long-creek-golf-country-club-en/
,18,"https://www.google.com/maps/place/7415 Old Highway 2 7415 Old Highway 2 Marysville,ON K0K 2N0",,Public,Par 72,,"Marysville, ON",,(613) 396-2433,6553,,,,,Briar Fox Golf Club,https://www.golfcanada.ca/golf-facility/briar-fox-golf-club-en/
,18,"https://www.google.com/maps/place/1200 - 26 St. S.W.  Calgary,AB T3C 1K1",,Public,,,"Calgary, AB",,4039741810,,,,,https://www.calgary.ca/recreation,Shaganappi Point Golf Course,https://www.golfcanada.ca/golf-facility/shaganappi-point-golf-course-en/
,18,"https://www.google.com/maps/place/Box 25, 1804 Queen Street East  Sault Ste. Marie,ON P6A 5L2",,Semi-private,Par 72,,"Sault Ste. Marie, ON",,(705) 759-5133,6769,,,,,Sault Ste. Marie Golf Club,https://www.golfcanada.ca/golf-facility/sault-ste-marie-golf-club-en/
,18,"https://www.google.com/maps/place/Ranch Road  Exshaw,AB T0L 2C0",,Public,Par 71,,"Exshaw, AB",,—,5832,,,,,Brewster’s Kananaskis Ranch GC,https://www.golfcanada.ca/golf-facility/brewsters-kananaskis-ranch-gc-en/
,18,"https://www.google.com/maps/place/4955 First Line of Erin  Acton,ON L7J 2M2",,Semi-private,Par 68,,"Acton, ON",,1-888-833-8787,5155,,,,https://www.golfacton.ca,Acton Golf Club,https://www.golfcanada.ca/golf-facility/acton-golf-club-en/
,18,"https://www.google.com/maps/place/1265 Tyandaga Park Dr  Burlington,ON L7P 1N1",,Public,Par 69,,"Burlington, ON",,(905) 336-0006,5294,,,,,Tyandaga Municipal Golf Club,https://www.golfcanada.ca/golf-facility/tyandaga-municipal-golf-club-en/
,18,"https://www.google.com/maps/place/38 Golf Club Rd  Braeside,ON K0A 1G0",,Public,Par 70,,"Braeside, ON",,—,6159,,,,https://www.arnpriorgolfclub.com,Sand Point Golf Club,https://www.golfcanada.ca/golf-facility/sand-point-golf-club-en/
,18,S0M 1J0,,Public,Par —,,—,,—,—,,,,,Blueberry Hill Golf Course,https://www.golfcanada.ca/golf-facility/blueberry-hill-golf-course-en/
,18,B3T 0G9,,Semi-private,Par 72,,"Timberlea, NS",,—,6904,,,,,The Links At Brunello,https://www.golfcanada.ca/golf-facility/the-links-at-brunello-en/
,9,"https://www.google.com/maps/place/190 Fairway Road  Woodstock,ON N4T 1W3",,Public,Par 72,,"Woodstock, ON",,—,5826,,,,https://www.sallycreekgolf.com,Sally Creek Golf Club,https://www.golfcanada.ca/golf-facility/sally-creek-golf-club-en/
,18,"https://www.google.com/maps/place/Rue des Chênes  Beloeil,QC J3G 2K6",,Semi-private,Par 71,,"Beloeil, QC",,(450) 467-0243,6323,,,,https://www.golfbeloeil.qc.ca,Beloeil (Club de golf),https://www.golfcanada.ca/golf-facility/beloeil-club-de-golf-en/
,9,"https://www.google.com/maps/place/PO Box 730  Wakaw,SK S0K 4P0",,Public,Par 72,,"Wakaw, SK",,(306) 233-5955,6244,,,,,Wakaw Lake Golf Club,https://www.golfcanada.ca/golf-facility/wakaw-lake-golf-club-en/
,18,"https://www.google.com/maps/place/9999 99th Ave, PO Box 300  Taylor,BC V0C 2K0",,Public,Par 72,,"Taylor, BC",,(604) 789-3711,7141,,,,https://www.districtoftaylor.com,Lone Wolf Golf Club,https://www.golfcanada.ca/golf-facility/lone-wolf-golf-club-en/
,18,"https://www.google.com/maps/place/551 Highway 15 551 Highway 15 Lombardy,ON K0G 1L0",,Semi-private,Par 71,,"Lombardy, ON",,(613) 257-5181,6000,,,,https://www.lombardglen.com,Lombard Glen Golf Club,https://www.golfcanada.ca/golf-facility/lombard-glen-golf-club-en/
,18,"https://www.google.com/maps/place/18 Chemin du Golf  La Sarre,QC J9Z 2X5",,Semi-private,Par 71,,"La Sarre, QC",,819-333-9944,6141,,,,https://www.golflasarre.com,Beattie (Club de golf),https://www.golfcanada.ca/golf-facility/beattie-club-de-golf-en/
,18,"https://www.google.com/maps/place/PO Box 430  Strasbourg,SK S0G 4V0",,Public,Par —,,"Strasbourg, SK",,(306) 725-3484,—,,,,,Strasbourg Golf Club,https://www.golfcanada.ca/golf-facility/strasbourg-golf-club-en/
,18,"https://www.google.com/maps/place/Box 1710  Port Hardy,BC V0N 2P0",,Public,Par 72,,"Port Hardy, BC",,(250) 949-9818,6268,,,,,Seven Hills Golf & Country Club,https://www.golfcanada.ca/golf-facility/seven-hills-golf-country-club-en/
,18,"https://www.google.com/maps/place/500 Errol Road West  Sarnia,ON N7V 1X7",,Private,Par 72,,"Sarnia, ON",,(519) 336-2201,6612,,,,https://www.sgcc.on.ca,Sarnia Golf & Curling Club,https://www.golfcanada.ca/golf-facility/sarnia-golf-curling-club-en/
,18,"https://www.google.com/maps/place/PO Box 28 n/a Grande Cache,AB T0E 0Y0",,Public,Par 70,,"Grande Cache, AB",,(780) 827-5151,6030,,,,https://www.grandecache.ca,Grande Cache Golf & Country Club,https://www.golfcanada.ca/golf-facility/grande-cache-golf-country-club-en/
,27,"https://www.google.com/maps/place/8545 Simcoe County Rd 56  Utopia,ON L0M 1T0",,Public,,,"Utopia, ON",,—,,,,,,Bear Creek Golf Club,https://www.golfcanada.ca/golf-facility/bear-creek-golf-club-en/
,18,"https://www.google.com/maps/place/3950 Dundas Street  London,ON N5V 5C6",,Semi-private,Par 71,,"London, ON",,1-888-833-8787,5771,,,,https://www.mapleridgegolf.com,Maple Ridge Golf Club,https://www.golfcanada.ca/golf-facility/maple-ridge-golf-club-en/
,18,"https://www.google.com/maps/place/10845 River Line  Chatham,ON N7M 5J4",,Private,Par 72,,"Chatham, ON",,519-354-4715,6462,,,,https://www.maplecitycc.com,Maple City Country Club,https://www.golfcanada.ca/golf-facility/maple-city-country-club-en/
